               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.54206,             0.33932,              1.0248,             0.96928,             0.97072,             0.99078,             0.87563,             0.51987,             0.24749,             0.98529,            0.002872,            0.002872,            0.002872
                  38,             0.53447,             0.31896,              1.0205,             0.97434,             0.97557,             0.99183,             0.87706,             0.51894,             0.23799,             0.98549,            0.002674,            0.002674,            0.002674
                  39,              0.5339,             0.32078,              1.0176,             0.95506,             0.96127,                0.99,             0.87495,             0.52061,              0.2648,             0.98409,            0.002476,            0.002476,            0.002476
                  40,             0.52944,             0.31018,              1.0145,             0.97806,             0.97934,             0.99155,             0.87766,             0.52032,             0.24062,             0.98628,            0.002278,            0.002278,            0.002278
                  41,             0.52758,              0.3031,               1.012,             0.97737,             0.97507,              0.9892,             0.87857,              0.5122,             0.24392,             0.98077,             0.00208,             0.00208,             0.00208
                  42,             0.52258,             0.29969,               1.011,             0.97148,             0.98013,             0.99179,             0.87991,             0.51081,             0.23876,             0.97932,            0.001882,            0.001882,            0.001882
                  43,             0.51942,             0.28299,                1.01,             0.97498,             0.98594,             0.99285,              0.8816,             0.51009,             0.22114,             0.97833,            0.001684,            0.001684,            0.001684
                  44,             0.51715,             0.27248,              1.0041,              0.9703,             0.98824,             0.99276,              0.8834,             0.50854,             0.22432,             0.97597,            0.001486,            0.001486,            0.001486
                  45,             0.51176,              0.2661,             0.99849,             0.97648,             0.98157,             0.99195,             0.88519,             0.50824,               0.225,             0.97645,            0.001288,            0.001288,            0.001288
                  46,             0.50852,             0.26099,             0.99608,             0.97518,             0.98293,             0.99293,             0.88595,             0.50716,             0.22198,             0.97432,             0.00109,             0.00109,             0.00109
                  47,             0.50467,             0.25244,             0.99914,             0.98437,             0.97556,             0.99198,             0.88492,             0.50709,             0.22073,             0.97492,            0.000892,            0.000892,            0.000892
                  48,             0.50052,              0.2491,             0.99071,             0.98483,             0.97638,              0.9923,              0.8854,             0.50641,             0.21777,             0.97284,            0.000694,            0.000694,            0.000694
                  49,             0.49779,             0.23991,             0.98718,             0.98254,             0.98581,             0.99286,             0.88751,               0.504,             0.21323,             0.97166,            0.000496,            0.000496,            0.000496
